,,,,,,,,Producer/Merchant/Processor/User - All - Long ,Producer/Merchant/Processor/User - All - Short,Swap Dealers – All - Long,Swap Dealers – All – Short,,Managed Money - All - Long,Managed Money - All - Short,,Other Reportables - All - Long,Other Reportables - All - Short,,,,Nonreportable Positions – Long,Nonreportable Positions – Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM WESTERN HUB RT OFF - ICE FUTURES ENERGY DIV,210803,2021-08-03,64394,IFED,1,64,148986,100338,105285,937,17962,20911,18472,0,144,5179,2835,1322,147303,148459,1683,527,148986,100338,105285,937,17962,20911,18472,0,144,5179,2835,1322,147303,148459,1683,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1699,7,-1374,-1433,1122,-1939,260,0,39,557,170,33,-2476,-1949,777,250,100,67.3,70.7,0.6,12.1,14,12.4,0,0.1,3.5,1.9,0.9,98.9,99.6,1.1,0.4,100,67.3,70.7,0.6,12.1,14,12.4,0,0.1,3.5,1.9,0.9,98.9,99.6,1.1,0.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,28,30,.,7,7,10,0,.,6,5,7,54,50,61,28,30,.,7,7,10,0,.,6,5,7,54,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2,43.3,62.7,64.6,35.7,29.6,41.8,40.2,45.2,43.3,62.7,64.6,35.7,29.6,41.8,40.2,0,0,0,0,0,0,0,0,(Contracts of 1Megawatt for 368 Hours),64394,IFED,64,N16,FutOnly
SP15 FIN DA PEAK FIXED - ICE FUTURES ENERGY DIV,210803,2021-08-03,64395,IFED,1,64,62388,51015,42209,1500,12367,2589,3585,0,747,670,2230,2194,62300,62336,88,52,62388,51015,42209,1500,12367,2589,3585,0,747,670,2230,2194,62300,62336,88,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-143,356,61,15,63,-174,94,0,36,-453,-87,-31,-157,-132,14,-11,100,81.8,67.7,2.4,19.8,4.1,5.7,0,1.2,1.1,3.6,3.5,99.9,99.9,0.1,0.1,100,81.8,67.7,2.4,19.8,4.1,5.7,0,1.2,1.1,3.6,3.5,99.9,99.9,0.1,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,21,16,.,4,.,4,0,.,.,4,4,32,28,41,21,16,.,4,.,4,0,.,.,4,4,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2,73.5,80.1,87.1,62.4,65.3,71.2,74.7,64.2,73.5,80.1,87.1,62.4,65.3,71.2,74.7,0,0,0,0,0,0,0,0,(Contracts of 400 Megawatt Hours),64395,IFED,64,N16,FutOnly
CAISO SP-15 DA OFF-PK FIXED - ICE FUTURES ENERGY DIV,210803,2021-08-03,64396,IFED,1,64,41497,35979,31566,1178,6931,1775,0,0,0,1370,0,1190,41492,41462,5,35,41497,35979,31566,1178,6931,1775,0,0,0,1370,0,1190,41492,41462,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2546,2216,2471,-45,175,0,0,0,0,-5,-480,380,2546,2546,0,0,100,86.7,76.1,2.8,16.7,4.3,0,0,0,3.3,0,2.9,100,99.9,0,0.1,100,86.7,76.1,2.8,16.7,4.3,0,0,0,3.3,0,2.9,100,99.9,0,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,15,.,.,.,0,0,0,.,0,.,21,20,28,16,15,.,.,.,0,0,0,.,0,.,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.2,79,88.9,89.8,66.8,67.1,76.3,76.3,72.2,79,88.9,89.8,66.8,67.1,76.3,76.3,0,0,0,0,0,0,0,0,(1 MW per Hour for about 386 Hours),64396,IFED,64,N16,FutOnly
PJM AEP DAYTON RT OFF-PK FIXED - ICE FUTURES ENERGY DIV,210803,2021-08-03,06439A,IFED,1,64,48030,25586,18507,4606,16643,6332,10440,0,0,0,5490,685,47649,47657,381,373,48030,25586,18507,4606,16643,6332,10440,0,0,0,5490,685,47649,47657,381,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-198,-241,-147,-18,-140,10,0,0,0,0,-2,0,-249,-279,51,81,100,53.3,38.5,9.6,34.7,13.2,21.7,0,0,0,11.4,1.4,99.2,99.2,0.8,0.8,100,53.3,38.5,9.6,34.7,13.2,21.7,0,0,0,11.4,1.4,99.2,99.2,0.8,0.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,15,18,5,4,7,.,0,0,0,.,.,26,29,36,15,18,5,4,7,.,0,0,0,.,.,26,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,62.6,72.8,83,52.9,52.5,66.7,68.5,53,62.6,72.8,83,52.9,52.5,66.7,68.5,0,0,0,0,0,0,0,0,(1 MW per Hour for about 386 Hours),06439A,IFED,64,N16,FutOnly
PJM AEP DAYTON RT PEAK FIXED - ICE FUTURES ENERGY DIV,210803,2021-08-03,06439B,IFED,1,64,59218,37574,23098,2136,22729,7239,8961,0,660,511,4242,1124,58205,59092,1013,126,59218,37574,23098,2136,22729,7239,8961,0,660,511,4242,1124,58205,59092,1013,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,961,-937,-285,1676,-175,10,0,5,-5,0,5,516,574,67,9,100,63.5,39,3.6,38.4,12.2,15.1,0,1.1,0.9,7.2,1.9,98.3,99.8,1.7,0.2,100,63.5,39,3.6,38.4,12.2,15.1,0,1.1,0.9,7.2,1.9,98.3,99.8,1.7,0.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,19,22,.,5,6,8,0,.,.,.,.,38,35,47,19,22,.,5,6,8,0,.,.,.,.,38,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,55.4,71.2,79.4,51.8,46.3,64.6,64.8,53.5,55.4,71.2,79.4,51.8,46.3,64.6,64.8,0,0,0,0,0,0,0,0,800MWh,06439B,IFED,64,N16,FutOnly
PJM AEP DAYTON HUB DA OFF-PK  - ICE FUTURES ENERGY DIV,210803,2021-08-03,06439C,IFED,1,64,70785,40833,29573,25855,33496,1077,50,0,0,806,5280,1326,69947,70752,838,33,70785,40833,29573,25855,33496,1077,50,0,0,806,5280,1326,69947,70752,838,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,6,133,433,698,-8,0,0,0,-10,0,0,421,823,432,30,100,57.7,41.8,36.5,47.3,1.5,0.1,0,0,1.1,7.5,1.9,98.8,100,1.2,0,100,57.7,41.8,36.5,47.3,1.5,0.1,0,0,1.1,7.5,1.9,98.8,100,1.2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,18,15,5,4,.,.,0,0,.,.,.,28,23,38,18,15,5,4,.,.,0,0,.,.,.,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4,54.8,73.4,80.9,48.9,54.8,71.5,80.9,50.4,54.8,73.4,80.9,48.9,54.8,71.5,80.9,0,0,0,0,0,0,0,0,1 MW,06439C,IFED,64,N16,FutOnly
PJM AEP DAYTON DA PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,06439F,IFED,1,64,91978,56516,32812,30080,49776,1709,60,100,0,1016,5998,1468,90849,91863,1129,115,91978,56516,32812,30080,49776,1709,60,100,0,1016,5998,1468,90849,91863,1129,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681,13,781,821,700,84,0,0,0,15,26,0,933,1591,748,90,100,61.4,35.7,32.7,54.1,1.9,0.1,0.1,0,1.1,6.5,1.6,98.8,99.9,1.2,0.1,100,61.4,35.7,32.7,54.1,1.9,0.1,0.1,0,1.1,6.5,1.6,98.8,99.9,1.2,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,23,16,6,.,.,.,.,0,.,.,.,33,27,44,23,16,6,.,.,.,.,0,.,.,.,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8,61.5,72.4,79.6,48.5,61.5,71.9,79.4,48.8,61.5,72.4,79.6,48.5,61.5,71.9,79.4,0,0,0,0,0,0,0,0,1 MW,06439F,IFED,64,N16,FutOnly
MISO INDIANA  OFF-PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,06439K,IFED,1,64,29106,18484,26454,8523,0,2018,0,0,0,0,2,66,29091,28540,15,566,29106,18484,26454,8523,0,2018,0,0,0,0,2,66,29091,28540,15,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,-40,-70,-30,0,0,0,0,0,0,0,0,-70,-70,0,0,100,63.5,90.9,29.3,0,6.9,0,0,0,0,0,0.2,99.9,98.1,0.1,1.9,100,63.5,90.9,29.3,0,6.9,0,0,0,0,0,0.2,99.9,98.1,0.1,1.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,12,5,0,4,0,0,0,0,.,.,18,17,24,12,12,5,0,4,0,0,0,0,.,.,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,79.7,89.5,93.3,63.2,74.3,74.2,77.7,68,79.7,89.5,93.3,63.2,74.3,74.2,77.7,0,0,0,0,0,0,0,0,1 MW,06439K,IFED,64,N16,FutOnly
MISO IN. REAL-TIME OFF-PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,06439L,IFED,1,64,28982,23925,13961,690,11076,3645,0,300,0,500,0,0,28760,28982,222,0,28982,23925,13961,690,11076,3645,0,300,0,500,0,0,28760,28982,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,43,0,-40,5,0,0,0,0,0,0,8,8,0,0,100,82.6,48.2,2.4,38.2,12.6,0,1,0,1.7,0,0,99.2,100,0.8,0,100,82.6,48.2,2.4,38.2,12.6,0,1,0,1.7,0,0,99.2,100,0.8,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,12,.,.,5,0,.,0,.,0,0,19,18,22,13,12,.,.,5,0,.,0,.,0,0,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9,65.4,76.5,90.6,46.2,56.5,57.9,64.2,58.9,65.4,76.5,90.6,46.2,56.5,57.9,64.2,0,0,0,0,0,0,0,0,(1 MW for about 368 Hours),06439L,IFED,64,N16,FutOnly
ERCOT HOUSTON 345KV RT PK FIX - ICE FUTURES ENERGY DIV,210803,2021-08-03,06439N,IFED,1,64,32847,23405,25615,5465,1617,3900,0,0,0,0,1640,75,32845,32847,2,0,32847,23405,25615,5465,1617,3900,0,0,0,0,1640,75,32845,32847,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,550,775,225,0,50,0,0,0,0,0,25,850,850,0,0,100,71.3,78,16.6,4.9,11.9,0,0,0,0,5,0.2,100,100,0,0,100,71.3,78,16.6,4.9,11.9,0,0,0,0,5,0.2,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,9,.,.,5,0,0,0,0,.,.,21,17,23,13,9,.,.,5,0,0,0,0,.,.,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,70.1,86,89.3,50.7,68.8,73.2,75.2,53.2,70.1,86,89.3,50.7,68.8,73.2,75.2,0,0,0,0,0,0,0,0,1 Mwh per Peak Hour,06439N,IFED,64,N16,FutOnly
ERCOT NORTH 345KV RT PK FIX - ICE FUTURES ENERGY DIV,210803,2021-08-03,06439R,IFED,1,64,130925,79813,65420,13317,31456,18333,11810,989,636,2449,9737,4062,130420,130633,505,292,130925,79813,65420,13317,31456,18333,11810,989,636,2449,9737,4062,130420,130633,505,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3020,1787,2637,206,329,172,456,7,-90,577,87,-81,3027,3061,-7,-41,100,61,50,10.2,24,14,9,0.8,0.5,1.9,7.4,3.1,99.6,99.8,0.4,0.2,100,61,50,10.2,24,14,9,0.8,0.5,1.9,7.4,3.1,99.6,99.8,0.4,0.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,39,34,.,5,5,8,.,.,9,8,11,67,59,77,39,34,.,5,5,8,.,.,9,8,11,67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.9,38.4,62.5,61.1,35.1,28.2,44.8,43,47.9,38.4,62.5,61.1,35.1,28.2,44.8,43,0,0,0,0,0,0,0,0,1 Mw per Peak Hour,06439R,IFED,64,N16,FutOnly
ERCOT SOUTH 345 KV RT PEAK FIX - ICE FUTURES ENERGY DIV,210803,2021-08-03,06439S,IFED,1,64,27141,14231,17807,9564,6300,2434,0,600,0,0,0,0,26229,27141,912,0,27141,14231,17807,9564,6300,2434,0,600,0,0,0,0,26229,27141,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-300,600,-300,-600,0,0,0,0,0,-300,0,0,-300,-300,0,0,100,52.4,65.6,35.2,23.2,9,0,2.2,0,0,0,0,96.6,100,3.4,0,100,52.4,65.6,35.2,23.2,9,0,2.2,0,0,0,0,96.6,100,3.4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,8,.,4,4,0,.,0,0,0,0,14,14,20,10,8,.,4,4,0,.,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,69.1,86.2,87.3,66.8,65.8,74.8,76.4,69.5,69.1,86.2,87.3,66.8,65.8,74.8,76.4,0,0,0,0,0,0,0,0,1 Mwh per Peak Hour,06439S,IFED,64,N16,FutOnly
ERCOT-SOUTH MONTHLY OFFPEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,06439U,IFED,1,64,25236,13856,15857,9289,7600,1179,0,600,0,0,0,0,24324,25236,912,0,25236,13856,15857,9289,7600,1179,0,600,0,0,0,0,24324,25236,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-300,600,-300,-600,0,0,0,0,0,-300,0,0,-300,-300,0,0,100,54.9,62.8,36.8,30.1,4.7,0,2.4,0,0,0,0,96.4,100,3.6,0,100,54.9,62.8,36.8,30.1,4.7,0,2.4,0,0,0,0,96.4,100,3.6,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,8,.,4,4,0,.,0,0,0,0,14,14,20,10,8,.,4,4,0,.,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,66.8,88.2,86.6,69,65.7,77.1,77,70.4,66.8,88.2,86.6,69,65.7,77.1,77,0,0,0,0,0,0,0,0,1 MW,06439U,IFED,64,N16,FutOnly
ERCOT WEST 345KV RT PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,06439V,IFED,1,64,40720,15323,24667,21274,2123,4042,50,8338,0,0,1550,0,40689,40720,31,0,40720,15323,24667,21274,2123,4042,50,8338,0,0,1550,0,40689,40720,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,37.6,60.6,52.2,5.2,9.9,0.1,20.5,0,0,3.8,0,99.9,100,0.1,0,100,37.6,60.6,52.2,5.2,9.9,0.1,20.5,0,0,3.8,0,99.9,100,0.1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,12,.,.,4,.,.,0,0,.,0,16,19,25,11,12,.,.,4,.,.,0,0,.,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.2,57.5,91.9,81.2,67.8,53.3,79,74.4,76.2,57.5,91.9,81.2,67.8,53.3,79,74.4,0,0,0,0,0,0,0,0,1 Mwh per peak hour,06439V,IFED,64,N16,FutOnly
ERCOT WEST 345K RT OFF-PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,06439W,IFED,1,64,35435,14969,22348,15372,1285,5064,0,5188,0,0,1550,0,35405,35435,30,0,35435,14969,22348,15372,1285,5064,0,5188,0,0,1550,0,35405,35435,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,42.2,63.1,43.4,3.6,14.3,0,14.6,0,0,4.4,0,99.9,100,0.1,0,100,42.2,63.1,43.4,3.6,14.3,0,14.6,0,0,4.4,0,99.9,100,0.1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,12,.,.,4,0,.,0,0,.,0,13,19,22,9,12,.,.,4,0,.,0,0,.,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.8,46.4,93.6,75,64.1,43.2,75.3,65.5,75.8,46.4,93.6,75,64.1,43.2,75.3,65.5,0,0,0,0,0,0,0,0,1 MWh per Off-Peak Hour,06439W,IFED,64,N16,FutOnly
ERCOT - NORTH MONTHLY OFF-PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643A8,IFED,1,64,72727,46583,39092,6846,18985,9843,5813,0,0,1245,1925,1930,72260,71775,467,952,72727,46583,39092,6846,18985,9843,5813,0,0,1245,1925,1930,72260,71775,467,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,-2571,2354,3000,-2170,35,0,0,0,-295,-170,170,339,219,-120,0,100,64.1,53.8,9.4,26.1,13.5,8,0,0,1.7,2.6,2.7,99.4,98.7,0.6,1.3,100,64.1,53.8,9.4,26.1,13.5,8,0,0,1.7,2.6,2.7,99.4,98.7,0.6,1.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,18,19,.,4,5,.,0,0,.,.,5,31,30,35,18,19,.,4,5,.,0,0,.,.,5,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.2,43.7,68.8,67.6,44.6,35,55,48.8,54.2,43.7,68.8,67.6,44.6,35,55,48.8,0,0,0,0,0,0,0,0,1 Mwh per Off-Peak Hour,0643A8,IFED,64,N16,FutOnly
MISO IN. DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643AZ,IFED,1,64,34965,24027,32840,9251,0,1539,0,0,0,100,0,0,34917,34379,48,586,34965,24027,32840,9251,0,1539,0,0,0,100,0,0,34917,34379,48,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,675,760,230,0,25,0,0,0,0,0,0,930,785,-145,0,100,68.7,93.9,26.5,0,4.4,0,0,0,0.3,0,0,99.9,98.3,0.1,1.7,100,68.7,93.9,26.5,0,4.4,0,0,0,0.3,0,0,99.9,98.3,0.1,1.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,16,5,0,.,0,0,0,.,0,0,24,18,30,18,16,5,0,.,0,0,0,.,0,0,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.7,76.2,80.9,92.9,50.6,70.2,66,75.3,55.7,76.2,80.9,92.9,50.6,70.2,66,75.3,0,0,0,0,0,0,0,0,1 MW,0643AZ,IFED,64,N16,FutOnly
MISO INDIANA HUB RT PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643B3,IFED,1,64,44338,34588,29319,1426,8191,6360,1538,300,0,0,168,0,43912,44338,426,0,44338,34588,29319,1426,8191,6360,1538,300,0,0,168,0,43912,44338,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1638,-1786,-636,143,-947,23,50,0,-68,0,0,0,-1638,-1628,0,-10,100,78,66.1,3.2,18.5,14.3,3.5,0.7,0,0,0.4,0,99,100,1,0,100,78,66.1,3.2,18.5,14.3,3.5,0.7,0,0,0.4,0,99,100,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17,17,.,.,5,.,.,0,0,.,0,25,25,31,17,17,.,.,5,.,.,0,0,.,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,65.1,78.4,91.7,51.3,53.1,59.4,64.2,57.5,65.1,78.4,91.7,51.3,53.1,59.4,64.2,0,0,0,0,0,0,0,0,800 Mwh,0643B3,IFED,64,N16,FutOnly
PJM N. IL HUB DA OFF-PK  - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643BC,IFED,1,64,51753,34367,45929,11898,3659,1725,0,70,0,2802,0,10,50802,51393,951,360,51753,34367,45929,11898,3659,1725,0,70,0,2802,0,10,50802,51393,951,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,-5,290,10,0,0,0,0,0,23,0,0,28,290,262,0,100,66.4,88.7,23,7.1,3.3,0,0.1,0,5.4,0,0,98.2,99.3,1.8,0.7,100,66.4,88.7,23,7.1,3.3,0,0.1,0,5.4,0,0,98.2,99.3,1.8,0.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,14,.,.,.,0,.,0,.,0,.,22,20,29,14,14,.,.,.,0,.,0,.,0,.,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,86.6,70.8,94.7,41.3,82.8,66.6,85.1,45.5,86.6,70.8,94.7,41.3,82.8,66.6,85.1,0,0,0,0,0,0,0,0,1 MW,0643BC,IFED,64,N16,FutOnly
PJM N. IL HUB DA PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643BE,IFED,1,64,58456,39269,46787,12177,8736,2390,0,155,0,3774,50,143,57753,58261,703,195,58456,39269,46787,12177,8736,2390,0,155,0,3774,50,143,57753,58261,703,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,146,330,5,22,0,0,0,0,24,50,0,175,402,207,-20,100,67.2,80,20.8,14.9,4.1,0,0.3,0,6.5,0.1,0.2,98.8,99.7,1.2,0.3,100,67.2,80,20.8,14.9,4.1,0,0.3,0,6.5,0.1,0.2,98.8,99.7,1.2,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,15,12,4,4,5,0,.,0,4,.,.,26,22,35,15,12,4,4,5,0,.,0,4,.,.,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,80.8,68.4,92.1,36.8,78.5,61.5,82.4,43.5,80.8,68.4,92.1,36.8,78.5,61.5,82.4,0,0,0,0,0,0,0,0,1 MW,0643BE,IFED,64,N16,FutOnly
ISO NE MASS HUB DA OFF-PK FIXD - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643BF,IFED,1,64,90024,68844,81551,16517,5304,964,35,252,30,1575,397,1446,89411,89944,613,80,90024,68844,81551,16517,5304,964,35,252,30,1575,397,1446,89411,89944,613,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1704,1960,487,410,-296,0,0,0,309,15,-137,2067,1952,-120,-5,100,76.5,90.6,18.3,5.9,1.1,0,0.3,0,1.7,0.4,1.6,99.3,99.9,0.7,0.1,100,76.5,90.6,18.3,5.9,1.1,0,0.3,0,1.7,0.4,1.6,99.3,99.9,0.7,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,18,25,7,.,4,.,.,.,.,.,4,32,34,42,18,25,7,.,4,.,.,.,.,.,4,32,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.3,61.9,78.8,82.6,57.3,59.7,74.8,78.7,60.3,61.9,78.8,82.6,57.3,59.7,74.8,78.7,0,0,0,0,0,0,0,0,(1 MW per Hour for about 368 Hours),0643BF,IFED,64,N16,FutOnly
ISO NE MASS HUB DA PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643BG,IFED,1,64,114933,88878,102179,18081,7866,1322,701,773,133,4050,1317,1115,114280,114705,653,228,114933,88878,102179,18081,7866,1322,701,773,133,4050,1317,1115,114280,114705,653,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2941,1075,2644,404,470,-228,36,0,0,1789,320,-265,2811,2941,130,0,100,77.3,88.9,15.7,6.8,1.2,0.6,0.7,0.1,3.5,1.1,1,99.4,99.8,0.6,0.2,100,77.3,88.9,15.7,6.8,1.2,0.6,0.7,0.1,3.5,1.1,1,99.4,99.8,0.6,0.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,19,25,7,.,4,4,4,.,5,4,4,41,38,55,19,25,7,.,4,4,4,.,5,4,4,41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.4,50.9,77.2,76.4,59.3,49.2,73.5,73.1,61.4,50.9,77.2,76.4,59.3,49.2,73.5,73.1,0,0,0,0,0,0,0,0,800MWh,0643BG,IFED,64,N16,FutOnly
CAISO NP-15 PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643BM,IFED,1,64,66859,47863,59081,13792,0,2721,0,1159,60,1642,3041,771,66849,66833,10,26,66859,47863,59081,13792,0,2721,0,1159,60,1642,3041,771,66849,66833,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614,1011,1325,495,0,45,0,0,0,-48,167,156,1659,1693,-45,-79,100,71.6,88.4,20.6,0,4.1,0,1.7,0.1,2.5,4.5,1.2,100,100,0,0,100,71.6,88.4,20.6,0,4.1,0,1.7,0.1,2.5,4.5,1.2,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,9,4,0,.,0,.,.,.,.,.,26,16,30,18,9,4,0,.,0,.,.,.,.,.,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1,87.1,84.9,93.6,72.5,84.5,80.1,88.4,75.1,87.1,84.9,93.6,72.5,84.5,80.1,88.4,0,0,0,0,0,0,0,0,400MWh,0643BM,IFED,64,N16,FutOnly
CAISO NP-15 DA OFF-PK FIXED - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643BR,IFED,1,64,53367,36581,48898,14726,484,1020,150,0,0,75,2150,815,53367,53367,0,0,53367,36581,48898,14726,484,1020,150,0,0,75,2150,815,53367,53367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,-15,300,-150,-195,180,0,0,0,0,-270,105,120,120,0,0,100,68.5,91.6,27.6,0.9,1.9,0.3,0,0,0.1,4,1.5,100,100,0,0,100,68.5,91.6,27.6,0.9,1.9,0.3,0,0,0.1,4,1.5,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,9,.,.,.,.,0,0,.,.,.,22,13,27,14,9,.,.,.,.,0,0,.,.,.,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5,93.8,91.5,98.6,81.9,90.5,88.3,92.9,82.5,93.8,91.5,98.6,81.9,90.5,88.3,92.9,0,0,0,0,0,0,0,0,(1 MW per Hour for about 386 Hours),0643BR,IFED,64,N16,FutOnly
PJM NI HUB RT OFF-PK FIXED - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643BS,IFED,1,64,43719,24920,36298,11492,150,5940,0,0,0,0,872,120,42472,43380,1247,339,43719,24920,36298,11492,150,5940,0,0,0,0,872,120,42472,43380,1247,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-158,115,-310,-365,0,0,0,0,0,0,0,0,-250,-310,92,152,100,57,83,26.3,0.3,13.6,0,0,0,0,2,0.3,97.1,99.2,2.9,0.8,100,57,83,26.3,0.3,13.6,0,0,0,0,2,0.3,97.1,99.2,2.9,0.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,13,5,.,4,0,0,0,0,.,.,20,19,24,14,13,5,.,4,0,0,0,0,.,.,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,74.9,78,88.8,40.2,59,59.9,66.4,52.5,74.9,78,88.8,40.2,59,59.9,66.4,0,0,0,0,0,0,0,0,(1 MW per Hour for about 386 Hours),0643BS,IFED,64,N16,FutOnly
